,0,1,2
438,2020-05-07,9951.52,9097.273914877409
439,2020-05-08,9842.67,10107.830025020383
440,2020-05-09,9593.9,9149.890748479447
441,2020-05-10,8756.43,9464.212652261736
442,2020-05-11,8601.8,8503.067958667707
443,2020-05-12,8804.48,8667.210319502625
444,2020-05-13,9269.99,8601.264085999032
445,2020-05-14,9733.72,9610.81345398456
446,2020-05-15,9328.2,9716.692549228846
447,2020-05-16,9377.01,9260.80560269811
448,2020-05-17,9670.74,9808.56812089471
449,2020-05-18,9726.57,9602.032601562449
450,2020-05-19,9729.04,9835.2942112186
451,2020-05-20,9522.98,9455.993370863856
452,2020-05-21,9081.76,9567.001892698685
453,2020-05-22,9182.58,8857.911561745994
454,2020-05-23,9209.29,9224.228945248127
455,2020-05-24,8790.37,9269.301288272334
456,2020-05-25,8906.93,8582.421540417698
457,2020-05-26,8835.05,8486.494648954038
458,2020-05-27,9181.02,8922.48740878714
459,2020-05-28,9525.75,9103.369944887385
460,2020-05-29,9439.12,9403.46779937582
461,2020-05-30,9700.41,9188.567324139
462,2020-05-31,9461.06,9707.286123848244
463,2020-06-01,10167.27,9586.421191878086
464,2020-06-02,9529.8,10330.777167592496
465,2020-06-03,9656.72,9629.445303046537
466,2020-06-04,9800.64,9687.90337083735
467,2020-06-05,9665.53,9977.720836438864
468,2020-06-06,9653.68,9966.486956248726
469,2020-06-07,9758.85,9685.611870251341
470,2020-06-08,9771.49,9409.867994680739
471,2020-06-10,9870.09,9736.887748275938
472,2020-06-11,9321.78,9471.27854597455
473,2020-06-12,9480.84,9220.739671037718
474,2020-06-13,9475.28,9325.917071628945
475,2020-06-14,9386.79,9553.93758643122
476,2020-06-15,9450.7,9322.378528334157
477,2020-06-16,9538.02,9445.390383201422
478,2020-06-17,9480.26,9842.531472800372
479,2020-06-18,9411.84,9441.253586890267
480,2020-06-19,9288.02,9460.715887528902
481,2020-06-20,9332.34,9487.67020059143
482,2020-06-21,9303.63,9462.168101569318
483,2020-06-22,9648.72,9173.620992331718
484,2020-06-23,9629.66,9393.797568488226
485,2020-06-24,9313.61,9226.845966257108
486,2020-06-25,9264.81,9162.392554023332
